"JLCPCB BOM Tool - BOM Matching","","","","","","","","","","","","","","","","",""
"BOM name：production_bom-JLCPCB Assembly Order.xlsx","","","Download Time：2026-06-12 11:30:08","","","","* Our matching results are updated in real-time, but stock and prices may change. 
If it's been over 24 hours, please re-match before placing your order.","","","","","","","","","",""
"PCB Assembled Qty：5","","","Est. Total Price：69.0311","","","","","","","","","","","","","",""
"Your BOM","","","","","Matched Parts","","","","","","","Order Information","","","","",""
"Top Designator","Bottom Designator","Comment","Footprint","JLCPCB Part #","Matches","Part # ","Manufacturer","Footprint","Description","Category","Warning","JLCPCB Part #","Product link","Lib Type","Qty","Source","Total Price ($)"
"BUZZER1","","FST-9650B-3V","BUZ-SMD_L9.6-W9.6-LS10.0-R","","Select by System","FUET-9650B-3V","FUET","SMD,9.6x9.6mm","-20℃~+80℃ 2V~5V 30mA 3V 3kHz 5.5mm 85dB 9.6mm 9.6mm Active Buzzer (Built-in Driving Circuit) Electromagnetic SMD,9.6x9.6mm Buzzers ROHS","Buzzers","","C391032","https://jlcpcb.com/partdetail/FUET-FUET_9650B3V/C391032","Extended","2","2 JLCPCB","1.1802"
"C1,C30,C31,C32","","1uF","0402","","Select by System","CL05A105KA5NQNC","Samsung Electro-Mechanics","0402","1uF 25V X5R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Multilayer Ceramic Capacitors MLCC - SMD/SMT","","C52923","https://jlcpcb.com/partdetail/53938-CL05A105KA5NQNC/C52923","Basic","20","20 JLCPCB","0.138"
"C3","","44uF","0805","","Select by Customer","CL21A476MQYNNNE","Samsung Electro-Mechanics","0805","47uF 6.3V X5R ±20% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Multilayer Ceramic Capacitors MLCC - SMD/SMT","","C16780","https://jlcpcb.com/partdetail/17464-CL21A476MQYNNNE/C16780","Basic","8","8 JLCPCB","1.0848"
"C6","","47nF","0402","","Select by Customer","0402B473K500NT","FH (Guangdong Fenghua Advanced Tech)","0402","47nF 50V X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Multilayer Ceramic Capacitors MLCC - SMD/SMT","","C82219","https://jlcpcb.com/partdetail/83376-0402B473K500NT/C82219","Extended","20","20 JLCPCB","0.068"
"C10,C2,C33,C4,C5,C7,C8,C9","","10uF","0603","","Select by System","CL10A106KP8NNNC","Samsung Electro-Mechanics","0603","10V 10uF X5R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Multilayer Ceramic Capacitors MLCC - SMD/SMT","","C19702","https://jlcpcb.com/partdetail/20411-CL10A106KP8NNNC/C19702","Basic","26","26 JLCPCB","0.4498"
"C11,C12,C14,C17,C18","","22uF","0805","","Select by System","CL21A226MAQNNNE","Samsung Electro-Mechanics","0805","22uF 25V X5R ±20% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Multilayer Ceramic Capacitors MLCC - SMD/SMT","","C45783","https://jlcpcb.com/partdetail/46786-CL21A226MAQNNNE/C45783","Basic","18","18 JLCPCB","1.7082"
"C13,C16,C19,C20,C21,C22,C24,C25,C26,C27,C28,C29,C38,C40","","0.1uF","0402","","Unconfirmed","CL05B104KO5NNNC","Samsung Electro-Mechanics","0402","100nF 16V X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Multilayer Ceramic Capacitors MLCC - SMD/SMT","1.The comment (CL05B104KO5NNNC) of this part does not match the one (0.1uF) provided in your BOM. Please confirm;","C1525","https://jlcpcb.com/partdetail/1877-CL05B104KO5NNNC/C1525","Basic","38","38 JLCPCB","0.0874"
"C15,C23","","2.2uF","0402","","Select by System","CL05A225MQ5NSNC","Samsung Electro-Mechanics","0402","2.2uF 6.3V X5R ±20% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Multilayer Ceramic Capacitors MLCC - SMD/SMT","","C12530","https://jlcpcb.com/partdetail/13164-CL05A225MQ5NSNC/C12530","Basic","20","20 JLCPCB","0.154"
"C34,C35","","20pF","0402","","Select by System","0402CG200J500NT","FH (Guangdong Fenghua Advanced Tech)","0402","20pF 50V C0G ±5% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Multilayer Ceramic Capacitors MLCC - SMD/SMT","","C1554","https://jlcpcb.com/partdetail/1906-0402CG200J500NT/C1554","Basic","20","20 JLCPCB","0.042"
"C36,C37","","6.8pF","0402","","Select by Customer","0402CG6R8C500NT","FH (Guangdong Fenghua Advanced Tech)","0402","50V 6.8pF C0G 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Multilayer Ceramic Capacitors MLCC - SMD/SMT","","C1576","https://jlcpcb.com/partdetail/1928-0402CG6R8C500NT/C1576","Extended","20","20 JLCPCB","0.048"
"C39","","4.7uF","0603","","Select by System","CL10A475KO8NNNC","Samsung Electro-Mechanics","0603","16V 4.7uF X5R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Multilayer Ceramic Capacitors MLCC - SMD/SMT","","C19666","https://jlcpcb.com/partdetail/20375-CL10A475KO8NNNC/C19666","Basic","20","20 JLCPCB","0.368"
"CARD1","","TF-01A","TF-SMD_TF-01A","","Select by System","TF-01A","Korean Hroparts Elec","SMD","1.85mm Connector and Ejector MicroSD Card (TF Card) Push-Push With Locating Pins SMD SD Card / Memory Card Connector ROHS","SD Card / Memory Card Connector","","C91145","https://jlcpcb.com/partdetail/Korean_HropartsElec-TF01A/C91145","Extended","2","2 JLCPCB","0.3806"
"D1,D2,D3,D4","","LED","0603","","Select by Customer","KT-0603G","Hubei KENTO Elec","0603","-40℃~+85℃ 1.6mm x 0.8mm square LED 100mW 120° 3.1V 430mcd 513nm~528nm 525nm 5mA Discrete Diode Emerald Green Water Clear 0603 LED Indication - Discrete ROHS","LED Indication - Discrete","1.The comment (KT-0603G) of this part does not match the one (LED) provided in your BOM. Please confirm;","C12624","https://jlcpcb.com/partdetail/Hubei_KENTOElec-KT0603G/C12624","Extended","20","20 JLCPCB","0.242"
"J1","","USB_C_Receptacle_USB2.0_16P","USB_C_Receptacle_HRO_TYPE-C-31-M-12","","Select by Customer","TYPE-C-31-M-12","Korean Hroparts Elec","SMD","-30℃~+80℃ 1 10,000 cycles 16P 20V 5A 7.35mm Female Surface Mount, Right Angle Type-C SMD USB Connectors ROHS","USB Connectors","","C165948","https://jlcpcb.com/partdetail/Korean_HropartsElec-TYPE_C_31_M12/C165948","Extended","2","2 JLCPCB","0.3684"
"L1","","XFL4020-152MEC","IND-SMD_L4.0-W4.0-A","","Select by System","XFL4020-152MEC","Coilcraft","SMD,4x4mm","1.5uH 14.4mΩ 4.6A 9.1A Magnetic Shielded Inductor ±20% SMD,4x4mm Power Inductors ROHS","Power Inductors","","C3033018","https://jlcpcb.com/partdetail/Coilcraft-XFL4020152MEC/C3033018","Extended","2","2 JLCPCB","2.7506"
"L2","","YHNR3015-5R6M","IND-SMD_L3.0-W3.0","","Select by System","YHNR3015-5R6M","YJYCOIN","SMD,3x3mm","2.2A 250mΩ 5.6uH Magnetic Shielded Inductor ±20% SMD,3x3mm Power Inductors ROHS","","","C18236327","https://jlcpcb.com/partdetail/YJYCOIN-YHNR30155R6M/C18236327","Extended","15","15 JLCPCB","1.1235"
"L4","","FCM1608KF-601T03","L0603","","Select by Customer","BLM18EG601SN1D","Murata Electronics","0603","-55℃~+125℃ 1 350mΩ 500mA 600Ω@100MHz ±25% 0603 Ferrite Beads ROHS","Ferrite Beads","","C20345","https://jlcpcb.com/partdetail/MurataElectronics-BLM18EG601SN1D/C20345","Extended","10","10 JLCPCB","0.81"
"L5","","DFE252012F-1R0M=P2","L2520","","Select by System","DFE252012F-1R0M=P2","Murata Electronics","1008","1uH 3.3A 4.7A 40mΩ ±20% 1008 Power Inductors ROHS","Power Inductors","","C435392","https://jlcpcb.com/partdetail/MurataElectronics-DFE252012F_1R0MP2/C435392","Extended","5","5 JLCPCB","0.909"
"R1,R2","","5.1K","0402","","Unconfirmed","0402WGF5101TCE","UNI-ROYAL(Uniroyal Elec)","0402","-55℃~+155℃ 5.1kΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS","Chip Resistor - Surface Mount","1.The comment (0402WGF5101TCE) of this part does not match the one (5.1K) provided in your BOM. Please confirm;","C25905","https://jlcpcb.com/partdetail/26648-0402WGF5101TCE/C25905","Basic","20","20 JLCPCB","0.018"
"R3","","383","0402","","Select by Customer","RTT023830FTH","RALEC","0402","-55℃~+155℃ 383Ω 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS","Chip Resistor - Surface Mount","1.The comment (RTT023830FTH) of this part does not match the one (383) provided in your BOM. Please confirm;","C112940","https://jlcpcb.com/partdetail/RALEC-RTT023830FTH/C112940","Extended","20","20 JLCPCB","0.012"
"R5","","5.23K","0402","","Unconfirmed","FRC0402F5231TS","FOJAN","0402","-55℃~+155℃ 5.23kΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS","Chip Resistor - Surface Mount","1.The comment (FRC0402F5231TS) of this part does not match the one (5.23K) provided in your BOM. Please confirm;","C2933105","https://jlcpcb.com/partdetail/FOJAN-FRC0402F5231TS/C2933105","Extended","20","20 JLCPCB","0.018"
"R6","","30.1K","0402","","Unconfirmed","0402WGF3012TCE","UNI-ROYAL(Uniroyal Elec)","0402","-55℃~+155℃ 30.1kΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS","Chip Resistor - Surface Mount","1.The comment (0402WGF3012TCE) of this part does not match the one (30.1K) provided in your BOM. Please confirm;","C29402","https://jlcpcb.com/partdetail/30156-0402WGF3012TCE/C29402","Extended","20","20 JLCPCB","0.02"
"R10,R11,R12,R13,R14,R18,R19,R20,R21,R22,R4,R7,R8,R9","","10K","0402","","Unconfirmed","0402WGF1002TCE","UNI-ROYAL(Uniroyal Elec)","0402","-55℃~+155℃ 10kΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS","Chip Resistor - Surface Mount","1.The comment (0402WGF1002TCE) of this part does not match the one (10K) provided in your BOM. Please confirm;","C25744","https://jlcpcb.com/partdetail/26487-0402WGF1002TCE/C25744","Basic","38","38 JLCPCB","0.1064"
"R15,R16","","100K","0402","","Unconfirmed","0402WGF1003TCE","UNI-ROYAL(Uniroyal Elec)","0402","-55℃~+155℃ 100kΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS","Chip Resistor - Surface Mount","1.The comment (0402WGF1003TCE) of this part does not match the one (100K) provided in your BOM. Please confirm;","C25741","https://jlcpcb.com/partdetail/26484-0402WGF1003TCE/C25741","Basic","20","20 JLCPCB","0.02"
